clave,score,exp,days,minutes,rt_esp_rel,rt_esp_norel,rt_rem_rel,rt_rem_norel,rt_rec_rel,rt_rec_norel,rt_remesp_rel,rt_remesp_norel,rt_recesp_rel,rt_recesp_norel,acc_esp,acc_rem,acc_rec
ACM,17,1563,42,253,1.007870565,0.988083676,1.256358,1.245396987,1.213713666,1.174126345,0.248487435,0.257313311,0.205843101,0.186042669,1,1,1
AH,22,1297,31,317,0.666132124,0.768008877,0.75258907,0.810284844,0.708686872,0.766592278,0.086456946,0.042275967,0.042554748,-0.001416599,0.875,0.871794872,0.902439024
CAS,22,4478,36,456,0.804240479,0.844384972,0.887662662,1.16766415,0.876183524,1.021500067,0.083422183,0.323279178,0.071943045,0.177115095,0.95,0.743589744,0.804878049
CB,19,2897,35,387,1.257332283,1.242921839,1.281059534,1.247786559,1.275368265,1.24033184,0.023727251,0.00486472,0.018035982,-0.002589999,1,1,1
DK,20,2606,42,315,0.920032762,1.195221949,1.113012376,1.212864411,1.078139988,1.278618211,0.192979614,0.017642462,0.158107226,0.083396262,0.975,0.923076923,0.926829268
EDA,13,3888,38,436,1.282780465,1.300372992,1.304143681,1.365903057,1.328955648,1.395361737,0.021363216,0.065530065,0.046175183,0.094988745,0.975,0.846153846,0.829268293
FM,22,2628,47,378,1.230784705,1.263252598,1.29404329,1.298929186,1.275936173,1.295737531,0.063258585,0.035676588,0.045151468,0.032484933,1,0.948717949,0.926829268
GES,21,2397,49,351,1.211183557,1.249093674,1.372595803,1.377526591,1.229117862,1.385007845,0.161412246,0.128432917,0.017934305,0.135914171,1,0.923076923,0.975609756
GH,17,2006,32,324,1.29816314,1.31871262,1.301078817,1.317047261,1.34481249,1.353626117,0.002915677,-0.001665359,0.04664935,0.034913497,1,0.974358974,0.951219512
IS,21,1612,40,377,1.079868872,1.174487487,1.269139069,1.323680906,1.243019494,1.20713303,0.189270197,0.149193419,0.163150622,0.032645543,1,0.923076923,0.951219512
KRK,20,2685,23,581,1.499916758,1.451290383,1.584321896,1.559484979,1.566397911,1.644942403,0.084405138,0.108194596,0.066481153,0.19365202,0.95,0.974358974,0.975609756
MA,27,2099,49,407,1.066601076,1.252107467,1.392937103,1.629579653,1.433705482,1.478829221,0.326336027,0.377472186,0.367104406,0.226721754,0.975,0.923076923,0.902439024
MAV,14,2722,10,283,1.336342013,1.338404674,1.359020469,1.413013997,1.361479567,1.433203629,0.022678456,0.074609323,0.025137554,0.094798955,0.975,0.948717949,0.926829268
MCH,21,2262,25,342,1.265380295,1.308065251,1.412499724,1.479673673,1.449877482,1.539426063,0.147119429,0.171608422,0.184497187,0.231360812,1,0.948717949,0.951219512
MCI,10,1508,41,208,1.152060667,1.201253587,1.296944659,1.503417191,1.398370856,1.445443816,0.144883992,0.302163604,0.246310189,0.244190229,0.95,0.974358974,0.951219512
MGM,15,2185,36,291,0.588079203,0.699511503,0.668215757,0.856357047,0.742606246,0.8132806,0.080136554,0.156845544,0.154527043,0.113769097,0.975,0.923076923,0.804878049
MT,21,1747,41,278,0.900805749,0.991379403,1.039897189,1.108454774,1.082348172,0.995561537,0.13909144,0.117075371,0.181542423,0.004182134,0.975,0.923076923,0.926829268
NP,18,1628,39,99,0.93329386,1.020809357,1.023363497,1.286860405,1.323569378,1.274948597,0.090069637,0.266051048,0.390275518,0.25413924,1,1,0.951219512
RAC,22,1933,34,253,0.817462556,0.742454263,0.958120289,0.898185526,1.04772262,0.86244868,0.140657733,0.155731263,0.230260064,0.119994417,1,0.974358974,1
SI,17,3143,43,337,1.443260325,1.450376205,1.455915523,1.430458548,1.452210796,1.489253619,0.012655198,-0.019917657,0.008950471,0.038877414,1,0.897435897,0.926829268
SMD,14,1534,47,383,1.003887021,0.9281212,1.110112463,1.010376549,1.041688891,1.111938231,0.106225442,0.082255349,0.03780187,0.183817031,0.975,0.948717949,0.951219512
TES,13,2376,37,326,0.857246636,0.906804805,0.991434819,1.115849946,1.022850978,1.017050343,0.134188183,0.209045141,0.165604342,0.110245538,0.975,0.717948718,0.731707317
VAB,13,1428,41,365,1.134554193,1.1333347,1.15227874,1.072974023,1.134814293,1.378946369,0.017724547,-0.060360677,0.0002601,0.245611669,1,0.846153846,0.902439024
VRR,24,2691,31,264,1.299525023,1.302437175,1.375389667,1.407525517,1.347778253,1.427974416,0.075864644,0.105088342,0.04825323,0.125537241,1,0.948717949,0.829268293